date,event_type,ticker,event_name,impact_level
2018-02-06,dividend,INTC,INTC Dividend Payment,low
2018-02-14,dividend,KLAC,KLAC Dividend Payment,low
2018-02-20,dividend,AMAT,AMAT Dividend Payment,low
2018-02-22,dividend,NVDA,NVDA Dividend Payment,low
2018-02-27,dividend,QCOM,QCOM Dividend Payment,low
2018-03-06,dividend,LRCX,LRCX Dividend Payment,low
2018-03-21,dividend,AVGO,AVGO Dividend Payment,low
2018-03-28,dividend,MRVL,MRVL Dividend Payment,low
2018-04-27,dividend,ASML,ASML Dividend Payment,low
2018-05-04,dividend,INTC,INTC Dividend Payment,low
2018-05-14,dividend,KLAC,KLAC Dividend Payment,low
2018-05-23,dividend,AMAT,AMAT Dividend Payment,low
2018-05-23,dividend,NVDA,NVDA Dividend Payment,low
2018-05-29,dividend,QCOM,QCOM Dividend Payment,low
2018-06-05,dividend,LRCX,LRCX Dividend Payment,low
2018-06-19,dividend,AVGO,AVGO Dividend Payment,low
2018-06-25,dividend,TSM,TSM Dividend Payment,low
2018-07-06,dividend,MRVL,MRVL Dividend Payment,low
2018-08-06,dividend,INTC,INTC Dividend Payment,low
2018-08-14,dividend,KLAC,KLAC Dividend Payment,low
2018-08-22,dividend,AMAT,AMAT Dividend Payment,low
2018-08-29,dividend,NVDA,NVDA Dividend Payment,low
2018-09-04,dividend,QCOM,QCOM Dividend Payment,low
2018-09-11,dividend,LRCX,LRCX Dividend Payment,low
2018-09-18,dividend,AVGO,AVGO Dividend Payment,low
2018-09-24,dividend,NXPI,NXPI Dividend Payment,low
2018-10-01,dividend,MRVL,MRVL Dividend Payment,low
2018-11-06,dividend,INTC,INTC Dividend Payment,low
2018-11-15,dividend,KLAC,KLAC Dividend Payment,low
2018-11-21,dividend,AMAT,AMAT Dividend Payment,low
2018-11-29,dividend,NVDA,NVDA Dividend Payment,low
2018-12-04,dividend,LRCX,LRCX Dividend Payment,low
2018-12-06,dividend,QCOM,QCOM Dividend Payment,low
2018-12-13,dividend,NXPI,NXPI Dividend Payment,low
2018-12-18,dividend,AVGO,AVGO Dividend Payment,low
2018-12-24,dividend,MRVL,MRVL Dividend Payment,low
2019-02-06,dividend,INTC,INTC Dividend Payment,low
2019-02-14,dividend,KLAC,KLAC Dividend Payment,low
2019-02-20,dividend,AMAT,AMAT Dividend Payment,low
2019-02-28,dividend,NVDA,NVDA Dividend Payment,low
2019-03-06,dividend,QCOM,QCOM Dividend Payment,low
2019-03-15,dividend,NXPI,NXPI Dividend Payment,low
2019-03-19,dividend,LRCX,LRCX Dividend Payment,low
2019-03-20,dividend,AVGO,AVGO Dividend Payment,low
2019-04-02,dividend,MRVL,MRVL Dividend Payment,low
2019-04-26,dividend,ASML,ASML Dividend Payment,low
2019-05-06,dividend,INTC,INTC Dividend Payment,low
2019-05-14,dividend,KLAC,KLAC Dividend Payment,low
2019-05-22,dividend,AMAT,AMAT Dividend Payment,low
2019-05-30,dividend,NVDA,NVDA Dividend Payment,low
2019-06-05,dividend,QCOM,QCOM Dividend Payment,low
2019-06-11,dividend,LRCX,LRCX Dividend Payment,low
2019-06-13,dividend,NXPI,NXPI Dividend Payment,low
2019-06-21,dividend,AVGO,AVGO Dividend Payment,low
2019-06-24,dividend,TSM,TSM Dividend Payment,low
2019-07-11,dividend,MRVL,MRVL Dividend Payment,low
2019-08-06,dividend,INTC,INTC Dividend Payment,low
2019-08-14,dividend,KLAC,KLAC Dividend Payment,low
2019-08-21,dividend,AMAT,AMAT Dividend Payment,low
2019-08-28,dividend,NVDA,NVDA Dividend Payment,low
2019-09-11,dividend,QCOM,QCOM Dividend Payment,low
2019-09-13,dividend,NXPI,NXPI Dividend Payment,low
2019-09-19,dividend,TSM,TSM Dividend Payment,low
2019-09-20,dividend,AVGO,AVGO Dividend Payment,low
2019-09-30,dividend,LRCX,LRCX Dividend Payment,low
