model,type,output,metric,value
ts_gru,regression,NVDA_open,mae,0.4071454703807831
ts_gru,regression,NVDA_open,mse,0.2683243751525879
ts_gru,regression,NVDA_open,rmse,0.518000362116271
ts_gru,regression,NVDA_open,r2,0.7143325805664062
ts_gru,regression,NVDA_open,mape,683.259521484375
ts_gru,regression,NVDA_open,smape,66.41358947753906
ts_gru,regression,NVDA_high,mae,0.36792710423469543
ts_gru,regression,NVDA_high,mse,0.21082566678524017
ts_gru,regression,NVDA_high,rmse,0.45915756204732183
ts_gru,regression,NVDA_high,r2,0.800530195236206
ts_gru,regression,NVDA_high,mape,158.70362854003906
ts_gru,regression,NVDA_high,smape,67.0235595703125
ts_gru,regression,NVDA_low,mae,0.3961465358734131
ts_gru,regression,NVDA_low,mse,0.2407098412513733
ts_gru,regression,NVDA_low,rmse,0.4906218923482454
ts_gru,regression,NVDA_low,r2,0.7324365377426147
ts_gru,regression,NVDA_low,mape,159.8103485107422
ts_gru,regression,NVDA_low,smape,76.20964050292969
ts_gru,regression,NVDA_close,mae,0.430602490901947
ts_gru,regression,NVDA_close,mse,0.27659568190574646
ts_gru,regression,NVDA_close,rmse,0.5259236464599651
ts_gru,regression,NVDA_close,r2,0.7388213872909546
ts_gru,regression,NVDA_close,mape,141.41363525390625
ts_gru,regression,NVDA_close,smape,77.89265441894531
ts_gru,regression,GOOGL_open,mae,0.38771435618400574
ts_gru,regression,GOOGL_open,mse,0.22943958640098572
ts_gru,regression,GOOGL_open,rmse,0.4789985244246434
ts_gru,regression,GOOGL_open,r2,0.742817759513855
ts_gru,regression,GOOGL_open,mape,221.88925170898438
ts_gru,regression,GOOGL_open,smape,72.5181884765625
ts_gru,regression,GOOGL_high,mae,0.3940572440624237
ts_gru,regression,GOOGL_high,mse,0.24687142670154572
ts_gru,regression,GOOGL_high,rmse,0.49686157700263534
ts_gru,regression,GOOGL_high,r2,0.7070101499557495
ts_gru,regression,GOOGL_high,mape,341.4620361328125
ts_gru,regression,GOOGL_high,smape,72.12579345703125
ts_gru,regression,GOOGL_low,mae,0.4165209233760834
ts_gru,regression,GOOGL_low,mse,0.28369104862213135
ts_gru,regression,GOOGL_low,rmse,0.5326265564371827
ts_gru,regression,GOOGL_low,r2,0.7008626461029053
ts_gru,regression,GOOGL_low,mape,148.69627380371094
ts_gru,regression,GOOGL_low,smape,78.0211181640625
ts_gru,regression,GOOGL_close,mae,0.4358539283275604
ts_gru,regression,GOOGL_close,mse,0.2914811372756958
ts_gru,regression,GOOGL_close,rmse,0.5398899307041166
ts_gru,regression,GOOGL_close,r2,0.6542242169380188
ts_gru,regression,GOOGL_close,mape,301.5375061035156
ts_gru,regression,GOOGL_close,smape,82.93048095703125
ts_gru,regression,AVGO_open,mae,0.36946409940719604
ts_gru,regression,AVGO_open,mse,0.2221076935529709
ts_gru,regression,AVGO_open,rmse,0.47128302913745035
ts_gru,regression,AVGO_open,r2,0.7883241772651672
ts_gru,regression,AVGO_open,mape,117.86808013916016
ts_gru,regression,AVGO_open,smape,66.21368408203125
ts_gru,regression,AVGO_high,mae,0.44815826416015625
ts_gru,regression,AVGO_high,mse,0.29919829964637756
ts_gru,regression,AVGO_high,rmse,0.5469902189677412
ts_gru,regression,AVGO_high,r2,0.6700978875160217
ts_gru,regression,AVGO_high,mape,301.92303466796875
ts_gru,regression,AVGO_high,smape,79.57818603515625
ts_gru,regression,AVGO_low,mae,0.4036305546760559
ts_gru,regression,AVGO_low,mse,0.24525493383407593
ts_gru,regression,AVGO_low,rmse,0.49523220193569395
ts_gru,regression,AVGO_low,r2,0.7779777646064758
ts_gru,regression,AVGO_low,mape,531.5596923828125
ts_gru,regression,AVGO_low,smape,73.01712799072266
ts_gru,regression,AVGO_close,mae,0.41269659996032715
ts_gru,regression,AVGO_close,mse,0.2716417908668518
ts_gru,regression,AVGO_close,rmse,0.5211926619464743
ts_gru,regression,AVGO_close,r2,0.7441666126251221
ts_gru,regression,AVGO_close,mape,261.3756103515625
ts_gru,regression,AVGO_close,smape,79.28992462158203
ts_gru,regression,AMD_open,mae,0.43003585934638977
ts_gru,regression,AMD_open,mse,0.28445690870285034
ts_gru,regression,AMD_open,rmse,0.5333450184475809
ts_gru,regression,AMD_open,r2,0.7328188419342041
ts_gru,regression,AMD_open,mape,151.00254821777344
ts_gru,regression,AMD_open,smape,72.43202209472656
ts_gru,regression,AMD_high,mae,0.41462135314941406
ts_gru,regression,AMD_high,mse,0.2836237847805023
ts_gru,regression,AMD_high,rmse,0.5325634091641129
ts_gru,regression,AMD_high,r2,0.7058358192443848
ts_gru,regression,AMD_high,mape,369.78094482421875
ts_gru,regression,AMD_high,smape,75.9476318359375
ts_gru,regression,AMD_low,mae,0.40022218227386475
ts_gru,regression,AMD_low,mse,0.24041622877120972
ts_gru,regression,AMD_low,rmse,0.49032257624059056
ts_gru,regression,AMD_low,r2,0.7947138547897339
ts_gru,regression,AMD_low,mape,509.2571716308594
ts_gru,regression,AMD_low,smape,69.19413757324219
ts_gru,regression,AMD_close,mae,0.35886111855506897
ts_gru,regression,AMD_close,mse,0.2087574452161789
ts_gru,regression,AMD_close,rmse,0.4568998196718608
ts_gru,regression,AMD_close,r2,0.8267961740493774
ts_gru,regression,AMD_close,mape,137.46380615234375
ts_gru,regression,AMD_close,smape,64.27118682861328
ts_gru,regression,TSM_open,mae,0.39707615971565247
ts_gru,regression,TSM_open,mse,0.2366199940443039
ts_gru,regression,TSM_open,rmse,0.4864360122814756
ts_gru,regression,TSM_open,r2,0.7288041114807129
ts_gru,regression,TSM_open,mape,325.25152587890625
ts_gru,regression,TSM_open,smape,76.65240478515625
ts_gru,regression,TSM_high,mae,0.37603768706321716
ts_gru,regression,TSM_high,mse,0.23802530765533447
ts_gru,regression,TSM_high,rmse,0.48787837383443683
ts_gru,regression,TSM_high,r2,0.7321441173553467
ts_gru,regression,TSM_high,mape,298.0055847167969
ts_gru,regression,TSM_high,smape,74.08653259277344
ts_gru,regression,TSM_low,mae,0.3889622986316681
