model,type,output,metric,value
ts_lstm,regression,NVDA_open,mae,0.669660210609436
ts_lstm,regression,NVDA_open,mse,0.6916160583496094
ts_lstm,regression,NVDA_open,rmse,0.8316345701987198
ts_lstm,regression,NVDA_open,r2,-0.32518160343170166
ts_lstm,regression,NVDA_open,mape,232.3343505859375
ts_lstm,regression,NVDA_open,smape,159.65660095214844
ts_lstm,regression,NVDA_high,mae,0.6469897627830505
ts_lstm,regression,NVDA_high,mse,0.648068368434906
ts_lstm,regression,NVDA_high,rmse,0.8050269364654241
ts_lstm,regression,NVDA_high,r2,-0.202947735786438
ts_lstm,regression,NVDA_high,mape,165.10391235351562
ts_lstm,regression,NVDA_high,smape,157.31361389160156
ts_lstm,regression,NVDA_low,mae,0.6423537731170654
ts_lstm,regression,NVDA_low,mse,0.626820981502533
ts_lstm,regression,NVDA_low,rmse,0.7917202672046062
ts_lstm,regression,NVDA_low,r2,-0.21295249462127686
ts_lstm,regression,NVDA_low,mape,219.9749755859375
ts_lstm,regression,NVDA_low,smape,158.87582397460938
ts_lstm,regression,NVDA_close,mae,0.6526111364364624
ts_lstm,regression,NVDA_close,mse,0.6375188231468201
ts_lstm,regression,NVDA_close,rmse,0.7984477585583293
ts_lstm,regression,NVDA_close,r2,-0.19444918632507324
ts_lstm,regression,NVDA_close,mape,696.08837890625
ts_lstm,regression,NVDA_close,smape,157.89781188964844
ts_lstm,classification,NVDA,precision,0.45349855902619723
ts_lstm,classification,NVDA,recall,0.40293040293040294
ts_lstm,classification,NVDA,f1,0.37775311246479115
ts_lstm,classification,NVDA,accuracy,0.40293040293040294
ts_lstm,classification,NVDA,auc_roc,0.42222222222222217
