model,type,output,metric,value
tab_lightgbm,regression,NVDA_open,mae,0.534000018318165
tab_lightgbm,regression,NVDA_open,mse,0.546049339305479
tab_lightgbm,regression,NVDA_open,rmse,0.7389515135010409
tab_lightgbm,regression,NVDA_open,r2,0.003470735455350593
tab_lightgbm,regression,NVDA_open,mape,117.70416159380505
tab_lightgbm,regression,NVDA_open,smape,166.73694756727718
tab_lightgbm,regression,NVDA_high,mae,0.5921261126140225
tab_lightgbm,regression,NVDA_high,mse,0.563294923267146
tab_lightgbm,regression,NVDA_high,rmse,0.7505297617464254
tab_lightgbm,regression,NVDA_high,r2,-0.07314616242451266
tab_lightgbm,regression,NVDA_high,mape,142.78880310891898
tab_lightgbm,regression,NVDA_high,smape,171.8344773700384
tab_lightgbm,regression,NVDA_low,mae,0.5908451666644319
tab_lightgbm,regression,NVDA_low,mse,0.5610438130630885
tab_lightgbm,regression,NVDA_low,rmse,0.7490285796036681
tab_lightgbm,regression,NVDA_low,r2,-0.03142490077197024
tab_lightgbm,regression,NVDA_low,mape,105.23329738996232
tab_lightgbm,regression,NVDA_low,smape,161.18344305404742
tab_lightgbm,regression,NVDA_close,mae,0.5413409654884224
tab_lightgbm,regression,NVDA_close,mse,0.48531369113169603
tab_lightgbm,regression,NVDA_close,rmse,0.6966445945614564
tab_lightgbm,regression,NVDA_close,r2,0.01111465027147096
tab_lightgbm,regression,NVDA_close,mape,124.96959573340527
tab_lightgbm,regression,NVDA_close,smape,176.3203479252911
tab_lightgbm,classification,NVDA,precision,0.543164003826755
tab_lightgbm,classification,NVDA,recall,0.5482866043613707
tab_lightgbm,classification,NVDA,f1,0.541221603836326
tab_lightgbm,classification,NVDA,accuracy,0.5482866043613707
tab_lightgbm,classification,NVDA,auc_roc,0.5267341040462427
