model,type,output,metric,value
tab_random_forest,regression,NVDA_open,mae,0.5675661291760898
tab_random_forest,regression,NVDA_open,mse,0.5960957184988568
tab_random_forest,regression,NVDA_open,rmse,0.7720723531501803
tab_random_forest,regression,NVDA_open,r2,-0.08786291859527506
tab_random_forest,regression,NVDA_open,mape,175.0407084312018
tab_random_forest,regression,NVDA_open,smape,163.41707853879282
tab_random_forest,regression,NVDA_high,mae,0.6381705466512657
tab_random_forest,regression,NVDA_high,mse,0.6222453579355629
tab_random_forest,regression,NVDA_high,rmse,0.7888253025452232
tab_random_forest,regression,NVDA_high,r2,-0.18545399642866522
tab_random_forest,regression,NVDA_high,mape,182.39056230009862
tab_random_forest,regression,NVDA_high,smape,169.22377309188872
tab_random_forest,regression,NVDA_low,mae,0.6059889764916807
tab_random_forest,regression,NVDA_low,mse,0.5910774554662989
tab_random_forest,regression,NVDA_low,rmse,0.7688156186409709
tab_random_forest,regression,NVDA_low,r2,-0.086638853611815
tab_random_forest,regression,NVDA_low,mape,135.50993217500715
tab_random_forest,regression,NVDA_low,smape,154.67909955265065
tab_random_forest,regression,NVDA_close,mae,0.567322720738569
tab_random_forest,regression,NVDA_close,mse,0.5251728574204018
tab_random_forest,regression,NVDA_close,rmse,0.7246881104450394
tab_random_forest,regression,NVDA_close,r2,-0.07010322244788392
tab_random_forest,regression,NVDA_close,mape,153.0428513398116
tab_random_forest,regression,NVDA_close,smape,161.56316617633885
tab_random_forest,classification,NVDA,precision,0.532667172006373
tab_random_forest,classification,NVDA,recall,0.5358255451713395
tab_random_forest,classification,NVDA,f1,0.5330800608711336
tab_random_forest,classification,NVDA,accuracy,0.5358255451713395
tab_random_forest,classification,NVDA,auc_roc,0.491759100140603
