model,type,output,metric,value
ts_transformer,regression,NVDA_open,mae,0.5591788291931152
ts_transformer,regression,NVDA_open,mse,0.5808119773864746
ts_transformer,regression,NVDA_open,rmse,0.7621102134117312
ts_transformer,regression,NVDA_open,r2,-0.05997037887573242
ts_transformer,regression,NVDA_open,mape,201.9848175048828
ts_transformer,regression,NVDA_open,smape,145.1502227783203
ts_transformer,regression,NVDA_high,mae,0.5555136799812317
ts_transformer,regression,NVDA_high,mse,0.5390504002571106
ts_transformer,regression,NVDA_high,rmse,0.7342005177450576
ts_transformer,regression,NVDA_high,r2,-0.026957392692565918
ts_transformer,regression,NVDA_high,mape,198.43592834472656
ts_transformer,regression,NVDA_high,smape,127.4685287475586
ts_transformer,regression,NVDA_low,mae,0.6047812104225159
ts_transformer,regression,NVDA_low,mse,0.6260379552841187
ts_transformer,regression,NVDA_low,rmse,0.7912256032789375
ts_transformer,regression,NVDA_low,r2,-0.1509103775024414
ts_transformer,regression,NVDA_low,mape,312.45404052734375
ts_transformer,regression,NVDA_low,smape,117.40709686279297
ts_transformer,regression,NVDA_close,mae,0.5634257793426514
ts_transformer,regression,NVDA_close,mse,0.5197116732597351
ts_transformer,regression,NVDA_close,rmse,0.720910308748415
ts_transformer,regression,NVDA_close,r2,-0.0589754581451416
ts_transformer,regression,NVDA_close,mape,168.92141723632812
ts_transformer,regression,NVDA_close,smape,160.85687255859375
ts_transformer,classification,NVDA,precision,0.491682165496505
ts_transformer,classification,NVDA,recall,0.4797507788161994
ts_transformer,classification,NVDA,f1,0.4722006859693843
ts_transformer,classification,NVDA,accuracy,0.4797507788161994
ts_transformer,classification,NVDA,auc_roc,0.46301359162630845
